airline,source_city,stops,destination_city,days_left,price_eur,departure_hour,class_Economy,duration_mins
Vistara,Hyderabad,1,Delhi,4.0,429.78,14,0,1150
Vistara,Delhi,1,Hyderabad,17.0,57.12,9,1,1290
Indigo,Hyderabad,0,Mumbai,7.0,48.75,18,1,90
Indigo,Hyderabad,0,Kolkata,15.0,60.69,9,1,124
Indigo,Hyderabad,1,Kolkata,45.0,20.36,18,1,300
Vistara,Bangalore,1,Delhi,12.0,498.37,6,0,784
Vistara,Kolkata,1,Chennai,20.0,554.01,18,0,1680
Vistara,Kolkata,2,Mumbai,40.0,698.09,18,0,790
Indigo,Mumbai,0,Chennai,19.0,29.69,18,1,124
Air_India,Mumbai,0,Delhi,12.0,219.1,18,0,135
SpiceJet,Delhi,1,Kolkata,28.0,94.11,9,1,295
GO_FIRST,Bangalore,0,Mumbai,16.0,48.03,9,1,100
Vistara,Kolkata,1,Delhi,46.0,63.94,9,1,825
Vistara,Delhi,1,Kolkata,13.0,136.86,18,1,1384
Vistara,Kolkata,1,Bangalore,6.0,122.6,18,1,1540
Indigo,Bangalore,0,Mumbai,24.0,22.85,22,1,120
Air_India,Chennai,1,Mumbai,1.0,255.64,18,1,1695
Indigo,Delhi,1,Bangalore,36.0,33.19,18,1,550
Vistara,Kolkata,1,Hyderabad,19.0,74.93,18,1,855
GO_FIRST,Mumbai,1,Hyderabad,23.0,32.48,22,1,580
Air_India,Mumbai,1,Hyderabad,20.0,45.45,9,1,559
Vistara,Mumbai,1,Bangalore,28.0,70.61,18,1,904
Vistara,Chennai,1,Bangalore,37.0,436.85,14,0,1219
Vistara,Delhi,1,Kolkata,36.0,71.46,6,1,745
Air_India,Bangalore,2,Hyderabad,15.0,155.16,9,1,790
Vistara,Hyderabad,1,Delhi,46.0,57.62,6,1,390
Vistara,Chennai,1,Delhi,22.0,55.48,6,1,765
Air_India,Hyderabad,1,Mumbai,10.0,76.93,6,1,379
Vistara,Chennai,1,Mumbai,46.0,40.74,18,1,1090
Indigo,Kolkata,1,Bangalore,6.0,141.52,6,1,280
Indigo,Kolkata,0,Bangalore,37.0,39.8,9,1,165
Indigo,Kolkata,1,Hyderabad,22.0,56.4,6,1,315
Air_India,Hyderabad,1,Mumbai,10.0,108.53,22,1,1594
Air_India,Delhi,1,Kolkata,27.0,320.11,18,0,1165
Air_India,Mumbai,1,Kolkata,27.0,49.25,9,1,739
Vistara,Chennai,1,Hyderabad,35.0,509.22,9,0,375
Vistara,Delhi,0,Bangalore,24.0,325.17,9,0,165
Vistara,Delhi,1,Mumbai,22.0,62.31,6,1,330
SpiceJet,Chennai,1,Mumbai,17.0,110.54,14,1,1414
GO_FIRST,Kolkata,1,Delhi,31.0,62.58,14,1,660
Air_India,Hyderabad,1,Delhi,10.0,441.19,14,0,450
Air_India,Kolkata,0,Mumbai,20.0,36.84,9,1,165
Air_India,Mumbai,1,Bangalore,33.0,60.19,18,1,835
GO_FIRST,Delhi,0,Mumbai,39.0,23.85,14,1,135
Air_India,Kolkata,1,Mumbai,46.0,54.66,22,1,820
Vistara,Delhi,1,Kolkata,25.0,604.14,18,0,1444
Indigo,Bangalore,1,Kolkata,28.0,51.24,9,1,469
Air_India,Mumbai,1,Bangalore,24.0,421.04,9,0,1540
Indigo,Chennai,1,Mumbai,5.0,97.18,9,1,400
Air_India,Bangalore,1,Chennai,43.0,597.68,18,0,1129
Vistara,Delhi,1,Kolkata,46.0,727.17,6,0,835
Air_India,Hyderabad,1,Kolkata,33.0,511.69,6,0,760
Vistara,Mumbai,1,Bangalore,34.0,70.61,6,1,570
Indigo,Mumbai,1,Delhi,12.0,78.21,9,1,469
Indigo,Mumbai,1,Kolkata,13.0,109.73,9,1,400
Vistara,Delhi,1,Chennai,20.0,49.27,22,1,730
Vistara,Chennai,0,Delhi,21.0,23.03,22,1,169
Vistara,Mumbai,1,Chennai,41.0,52.92,18,1,1600
Indigo,Delhi,0,Bangalore,17.0,44.53,9,1,175
Air_India,Bangalore,1,Hyderabad,11.0,370.43,9,0,1474
Vistara,Delhi,1,Bangalore,31.0,44.49,9,1,634
AirAsia,Bangalore,1,Mumbai,17.0,51.2,22,1,340
Vistara,Delhi,1,Hyderabad,43.0,61.08,6,1,285
Vistara,Kolkata,1,Chennai,47.0,69.48,18,1,915
GO_FIRST,Hyderabad,0,Delhi,46.0,22.52,9,1,139
Air_India,Chennai,1,Delhi,30.0,447.15,6,0,715
Vistara,Mumbai,1,Delhi,41.0,508.38,22,0,765
AirAsia,Bangalore,0,Chennai,36.0,15.86,18,1,70
Air_India,Hyderabad,1,Chennai,19.0,404.18,9,0,1590
GO_FIRST,Bangalore,1,Delhi,24.0,39.86,18,1,349
Air_India,Bangalore,1,Mumbai,48.0,65.1,6,1,960
Vistara,Bangalore,0,Delhi,41.0,44.55,9,1,160
Air_India,Bangalore,1,Hyderabad,32.0,439.7,1,0,1114
SpiceJet,Bangalore,1,Mumbai,11.0,126.06,6,1,784
Vistara,Mumbai,1,Chennai,16.0,635.06,18,0,1309
Vistara,Delhi,1,Mumbai,29.0,408.52,14,0,1155
Air_India,Chennai,2,Bangalore,7.0,126.8,9,1,2040
Vistara,Chennai,1,Kolkata,43.0,543.25,22,0,790
Air_India,Delhi,1,Bangalore,14.0,76.29,18,1,1350
Vistara,Hyderabad,1,Bangalore,37.0,626.19,18,0,900
Vistara,Mumbai,1,Kolkata,36.0,508.7,6,0,814
Vistara,Kolkata,2,Chennai,22.0,181.15,9,1,1354
Air_India,Kolkata,1,Delhi,46.0,475.79,14,0,1095
Vistara,Bangalore,1,Hyderabad,22.0,61.97,18,1,1279
Air_India,Delhi,1,Mumbai,10.0,121.7,14,1,1489
Air_India,Kolkata,1,Delhi,30.0,573.36,18,0,1579
Vistara,Hyderabad,1,Mumbai,6.0,533.86,22,0,1195
Vistara,Delhi,1,Hyderabad,14.0,456.18,9,0,1339
Vistara,Kolkata,1,Hyderabad,30.0,100.34,9,1,405
Air_India,Chennai,1,Hyderabad,29.0,508.11,6,0,1045
Air_India,Hyderabad,1,Mumbai,33.0,43.18,6,1,940
Indigo,Bangalore,0,Chennai,31.0,19.05,9,1,70
AirAsia,Delhi,1,Chennai,21.0,19.77,9,1,469
Vistara,Hyderabad,1,Delhi,41.0,513.36,9,0,940
Indigo,Delhi,1,Kolkata,12.0,58.93,6,1,330
Vistara,Bangalore,1,Mumbai,11.0,110.88,9,1,690
Air_India,Bangalore,1,Mumbai,14.0,142.21,14,1,1885
Vistara,Delhi,1,Kolkata,34.0,65.1,18,1,1260
Vistara,Delhi,1,Hyderabad,35.0,57.12,18,1,720
Air_India,Hyderabad,1,Kolkata,18.0,511.69,22,0,1530
GO_FIRST,Hyderabad,1,Mumbai,45.0,37.24,22,1,700
Vistara,Delhi,1,Mumbai,38.0,631.52,6,0,439
GO_FIRST,Mumbai,0,Kolkata,34.0,44.52,22,1,154
Air_India,Kolkata,0,Delhi,13.0,282.13,22,0,150
Air_India,Delhi,1,Mumbai,20.0,504.39,18,0,949
Vistara,Bangalore,1,Delhi,19.0,40.68,6,1,685
Air_India,Chennai,1,Kolkata,20.0,548.01,22,0,1560
Vistara,Kolkata,1,Hyderabad,5.0,516.32,22,0,1410
Indigo,Delhi,0,Hyderabad,36.0,29.82,18,1,139
Vistara,Kolkata,1,Bangalore,24.0,603.44,22,0,865
Vistara,Bangalore,1,Kolkata,36.0,512.78,18,0,915
Vistara,Hyderabad,1,Bangalore,39.0,53.84,22,1,790
Vistara,Chennai,1,Delhi,8.0,138.52,6,1,2010
Air_India,Hyderabad,1,Chennai,14.0,130.31,18,1,1000
GO_FIRST,Hyderabad,1,Mumbai,48.0,41.22,22,1,634
Air_India,Bangalore,1,Delhi,47.0,420.79,18,0,1440
Vistara,Bangalore,1,Mumbai,35.0,65.0,22,1,645
Air_India,Mumbai,1,Kolkata,40.0,49.25,6,1,450
Vistara,Bangalore,1,Chennai,45.0,60.97,6,1,1555
GO_FIRST,Hyderabad,1,Mumbai,11.0,44.06,22,1,709
Vistara,Bangalore,1,Delhi,41.0,40.68,9,1,360
Air_India,Mumbai,1,Bangalore,49.0,64.34,14,1,1050
Indigo,Kolkata,1,Hyderabad,17.0,64.22,6,1,385
Vistara,Mumbai,0,Kolkata,41.0,44.52,6,1,160
Air_India,Kolkata,2,Mumbai,15.0,131.76,6,1,349
AirAsia,Mumbai,1,Chennai,39.0,18.7,22,1,739
GO_FIRST,Bangalore,1,Delhi,43.0,34.3,14,1,510
AirAsia,Mumbai,1,Delhi,38.0,23.12,22,1,430
Vistara,Delhi,1,Hyderabad,22.0,57.01,18,1,289
Air_India,Hyderabad,1,Mumbai,22.0,454.06,6,0,379
Vistara,Chennai,1,Bangalore,7.0,596.33,18,0,1120
Indigo,Delhi,1,Chennai,46.0,33.54,18,1,295
Air_India,Bangalore,1,Hyderabad,45.0,61.36,18,1,1084
Air_India,Hyderabad,2,Mumbai,11.0,108.53,18,1,895
Air_India,Delhi,1,Mumbai,19.0,24.5,14,1,210
Air_India,Hyderabad,1,Mumbai,26.0,296.42,14,0,1420
Indigo,Bangalore,1,Delhi,41.0,52.78,9,1,409
Indigo,Chennai,1,Hyderabad,34.0,10.94,9,1,289
Vistara,Mumbai,1,Chennai,36.0,635.06,9,0,454
Vistara,Delhi,1,Mumbai,48.0,436.23,18,0,1564
Air_India,Kolkata,1,Delhi,23.0,61.79,18,1,840
GO_FIRST,Kolkata,1,Mumbai,14.0,78.75,18,1,430
Vistara,Delhi,1,Mumbai,19.0,77.04,6,1,769
Air_India,Mumbai,1,Kolkata,26.0,60.22,9,1,1549
GO_FIRST,Bangalore,1,Delhi,42.0,39.86,6,1,529
Vistara,Bangalore,1,Mumbai,44.0,65.0,6,1,570
Vistara,Delhi,1,Mumbai,20.0,49.16,14,1,300
GO_FIRST,Hyderabad,1,Kolkata,49.0,56.4,14,1,1240
Vistara,Delhi,1,Bangalore,14.0,695.03,6,0,810
Air_India,Mumbai,1,Chennai,33.0,43.71,6,1,934
GO_FIRST,Delhi,0,Kolkata,34.0,39.57,18,1,139
Vistara,Mumbai,1,Delhi,44.0,60.58,18,1,375
Vistara,Hyderabad,1,Mumbai,5.0,599.25,22,0,874
GO_FIRST,Kolkata,1,Bangalore,28.0,64.21,14,1,424
Air_India,Delhi,1,Hyderabad,7.0,130.63,22,1,1500
Indigo,Kolkata,0,Bangalore,20.0,38.22,9,1,169
Air_India,Hyderabad,1,Bangalore,32.0,560.01,22,0,925
Indigo,Kolkata,1,Hyderabad,42.0,46.47,14,1,465
Air_India,Hyderabad,1,Delhi,40.0,43.41,22,1,1200
Vistara,Chennai,0,Mumbai,6.0,235.9,22,0,124
Air_India,Hyderabad,1,Chennai,19.0,66.77,6,1,919
Vistara,Mumbai,2,Chennai,49.0,77.25,14,1,634
Indigo,Bangalore,0,Delhi,1.0,74.1,18,1,169
AirAsia,Chennai,1,Hyderabad,29.0,15.34,22,1,645
Vistara,Hyderabad,1,Delhi,10.0,118.88,14,1,310
GO_FIRST,Bangalore,1,Delhi,22.0,73.96,18,1,280
Air_India,Kolkata,1,Bangalore,17.0,68.6,9,1,529
Vistara,Hyderabad,1,Delhi,40.0,58.31,22,1,1159
Vistara,Mumbai,1,Hyderabad,16.0,32.99,18,1,934
GO_FIRST,Kolkata,1,Mumbai,32.0,62.03,18,1,574
AirAsia,Chennai,1,Hyderabad,49.0,15.34,22,1,610
Vistara,Kolkata,0,Delhi,33.0,39.59,14,1,145
Air_India,Hyderabad,1,Delhi,37.0,53.54,18,1,285
AirAsia,Delhi,1,Mumbai,42.0,23.84,9,1,900
Vistara,Mumbai,1,Chennai,17.0,101.57,6,1,589
SpiceJet,Bangalore,1,Kolkata,25.0,47.64,9,1,649
Air_India,Delhi,0,Hyderabad,22.0,236.95,9,0,139
Air_India,Mumbai,1,Hyderabad,18.0,45.45,9,1,559
GO_FIRST,Bangalore,1,Kolkata,31.0,61.22,18,1,690
GO_FIRST,Delhi,1,Bangalore,35.0,35.31,14,1,514
Vistara,Mumbai,1,Bangalore,33.0,684.49,6,0,910
AirAsia,Bangalore,0,Delhi,42.0,44.51,18,1,169
Vistara,Mumbai,1,Delhi,23.0,525.99,14,0,385
Air_India,Delhi,1,Mumbai,29.0,32.57,6,1,585
AirAsia,Mumbai,1,Bangalore,47.0,20.52,6,1,220
Air_India,Bangalore,1,Mumbai,17.0,392.11,6,0,655
AirAsia,Bangalore,1,Mumbai,47.0,21.8,1,1,364
Vistara,Delhi,1,Kolkata,23.0,78.28,22,1,1210
Vistara,Hyderabad,1,Mumbai,23.0,599.25,22,0,1410
Indigo,Kolkata,1,Hyderabad,32.0,33.66,6,1,385
Vistara,Mumbai,0,Hyderabad,47.0,34.14,18,1,94
Air_India,Kolkata,1,Delhi,20.0,50.4,9,1,529
Vistara,Bangalore,1,Chennai,6.0,597.68,6,0,559
Air_India,Bangalore,2,Kolkata,9.0,151.0,9,1,525
Air_India,Hyderabad,1,Mumbai,32.0,320.83,9,0,1380
Air_India,Hyderabad,1,Mumbai,34.0,47.33,6,1,1660
AirAsia,Delhi,1,Bangalore,40.0,30.58,9,1,694
Indigo,Mumbai,1,Hyderabad,4.0,90.51,14,1,300
Vistara,Mumbai,1,Delhi,35.0,408.4,6,0,990
Vistara,Hyderabad,1,Delhi,8.0,513.36,9,0,940
GO_FIRST,Delhi,1,Hyderabad,17.0,55.98,18,1,325
Air_India,Bangalore,1,Chennai,42.0,63.77,6,1,769
GO_FIRST,Hyderabad,1,Mumbai,22.0,41.22,22,1,709
Air_India,Delhi,1,Hyderabad,2.0,535.65,6,0,865
SpiceJet,Mumbai,1,Kolkata,2.0,76.48,14,1,1675
Vistara,Hyderabad,1,Kolkata,38.0,96.1,9,1,574
Vistara,Hyderabad,1,Bangalore,46.0,561.12,22,0,1440
Air_India,Delhi,1,Bangalore,27.0,86.9,6,1,960
Vistara,Bangalore,1,Chennai,28.0,60.97,22,1,765
Air_India,Kolkata,1,Hyderabad,17.0,65.18,9,1,535
Vistara,Hyderabad,1,Mumbai,40.0,599.25,18,0,964
Vistara,Hyderabad,2,Bangalore,28.0,63.94,9,1,739
Indigo,Mumbai,1,Kolkata,27.0,47.22,14,1,265
Vistara,Kolkata,1,Mumbai,47.0,66.41,9,1,589
Vistara,Delhi,1,Hyderabad,15.0,57.12,9,1,555
Air_India,Mumbai,1,Bangalore,44.0,64.34,22,1,1125
Vistara,Mumbai,1,Hyderabad,42.0,32.99,9,1,709
Vistara,Kolkata,1,Delhi,18.0,653.76,22,0,1219
Vistara,Delhi,1,Bangalore,14.0,445.65,18,0,1504
Indigo,Delhi,1,Bangalore,20.0,36.33,18,1,334
Indigo,Chennai,1,Delhi,11.0,84.34,9,1,295
Indigo,Kolkata,1,Delhi,43.0,43.93,14,1,370
Indigo,Kolkata,1,Mumbai,45.0,33.46,9,1,439
Indigo,Mumbai,1,Kolkata,48.0,39.39,18,1,364
Indigo,Delhi,1,Kolkata,1.0,155.57,6,1,499
Vistara,Delhi,1,Kolkata,11.0,648.47,22,0,1140
Indigo,Bangalore,1,Kolkata,20.0,51.24,9,1,375
AirAsia,Chennai,1,Kolkata,38.0,23.36,22,1,660
AirAsia,Chennai,1,Delhi,46.0,24.51,18,1,1069
Air_India,Mumbai,1,Hyderabad,16.0,45.45,22,1,1564
Air_India,Mumbai,1,Hyderabad,4.0,105.57,9,1,1465
Vistara,Mumbai,1,Bangalore,2.0,897.01,18,0,1615
Vistara,Delhi,1,Chennai,14.0,114.0,9,1,855
Air_India,Delhi,1,Hyderabad,29.0,469.15,22,0,1500
Vistara,Mumbai,1,Kolkata,18.0,58.87,14,1,340
Vistara,Hyderabad,1,Chennai,22.0,511.69,22,0,799
GO_FIRST,Chennai,1,Delhi,36.0,47.77,14,1,585
GO_FIRST,Delhi,1,Bangalore,35.0,39.78,14,1,370
Vistara,Chennai,1,Hyderabad,32.0,509.22,18,0,1605
Indigo,Delhi,1,Kolkata,13.0,58.93,6,1,525
AirAsia,Bangalore,1,Kolkata,49.0,33.58,6,1,775
Indigo,Delhi,1,Mumbai,47.0,23.85,14,1,360
GO_FIRST,Mumbai,1,Kolkata,45.0,57.57,18,1,765
Vistara,Bangalore,1,Kolkata,28.0,512.78,18,0,1440
Indigo,Bangalore,1,Mumbai,18.0,51.24,6,1,255
Vistara,Kolkata,1,Delhi,9.0,618.29,9,0,870
Indigo,Bangalore,1,Kolkata,38.0,34.1,6,1,244
Air_India,Delhi,1,Kolkata,46.0,276.85,6,0,304
